frame_index,t,seat_id,head_turn_deviation,head_yaw_direction,shoulder_span_ratio,torso_rotation,wrist_left_visible,wrist_right_visible,hidden_hands_duration,neighbour_intrusion,nose_displacement,valid
99,3.96,S01,,,,1.186,1,1,0.0,{},,1
99,3.96,S02,,,,1.514,0,1,0.0,{},,1
100,4.0,S01,,,,1.164,1,1,0.0,{},,1
100,4.0,S02,,,,1.451,0,1,0.0,{},,1
101,4.04,S01,,,,1.143,1,1,0.0,{},,1
101,4.04,S02,,,,1.388,0,1,0.0,{},,1
102,4.08,S01,,,,1.15,1,1,0.0,{},,1
102,4.08,S02,,,,1.397,0,1,0.0,{},,1
103,4.12,S01,,,,1.158,1,1,0.0,{},,1
103,4.12,S02,,,,1.405,0,1,0.0,{},,1
104,4.16,S01,,,,1.158,1,1,0.0,{},,1
104,4.16,S02,,,,1.405,0,1,0.0,{},,1
105,4.2,S01,,,,1.158,1,1,0.0,{},,1
105,4.2,S02,,,,1.405,0,1,0.0,{},,1
106,4.24,S01,,,,1.172,1,1,0.0,{},,1
106,4.24,S02,,,,1.405,0,1,0.0,{},,1
107,4.28,S01,,,,1.186,1,1,0.0,{},,1
107,4.28,S02,,,,1.406,0,1,0.0,{},,1
108,4.32,S01,,,,1.198,1,0,0.0,{},,1
108,4.32,S02,,,,1.405,0,1,0.0,{},,1
109,4.36,S01,,,,1.21,1,0,0.0,{},,1
109,4.36,S02,,,,1.405,0,1,0.0,{},,1
110,4.4,S01,,,,1.21,1,0,0.0,{},,1
110,4.4,S02,,,,1.405,0,1,0.0,{},,1
111,4.44,S01,,,,1.21,1,0,0.0,{},,1
111,4.44,S02,,,,1.405,0,1,0.0,{},,1
112,4.48,S01,,,,1.284,1,0,0.0,{},,1
112,4.48,S02,,,,1.388,0,1,0.0,{},,1
113,4.52,S01,,,,1.284,1,0,0.0,{},,1
113,4.52,S02,,,,1.388,0,1,0.0,{},,1
114,4.56,S01,,,,1.297,1,1,0.0,{},,1
114,4.56,S02,,,,1.405,0,1,0.0,{},,1
115,4.6,S01,,,,1.297,1,1,0.0,{},,1
115,4.6,S02,,,,1.405,0,1,0.0,{},,1
116,4.64,S01,,,,1.297,1,1,0.0,{},,1
116,4.64,S02,,,,1.406,0,1,0.0,{},,1
117,4.68,S01,,,,1.297,1,1,0.0,{},,1
117,4.68,S02,,,,1.406,0,1,0.0,{},,1
118,4.72,S01,,,,1.314,1,1,0.0,{},,1
118,4.72,S02,,,,1.406,1,1,0.0,{},,1
119,4.76,S01,,,,1.314,1,1,0.0,{},,1
119,4.76,S02,,,,1.406,1,1,0.0,{},,1
