event_id,session_id,seat_id,track_id,t_start,t_end,frame_start,frame_end,rule,points,score_after,confidence,severity,reason,clip_path,thumb_path
evt_0001,sess_20260823_084632,S01,1,9.67,9.67,116,116,motion_spurt,20.0,20.0,0.75,warning,"Abnormal rapid motion detected at S01 (Energy: 30.0%, Velocity: 0.0px/s)",,
evt_0002,sess_20260823_084632,S01,1,11.25,12.25,122,147,head_turn,10.0,26.1,0.9,warning,"Head turned left, 3.6 deviations from own baseline, held 1.0s",,
evt_0003,sess_20260823_084632,S01,1,12.67,12.67,152,152,motion_spurt,20.0,45.5,0.75,warning,"Abnormal rapid motion detected at S01 (Energy: 41.0%, Velocity: 0.0px/s)",,
evt_0004,sess_20260823_084632,S01,1,28.17,28.17,338,338,object_unregistered,40.0,62.2,0.59,warning,"Unregistered object (bottle) appeared at S01 at 00:28, not present during calibration",,
evt_0005,sess_20260823_084632,S01,1,31.17,31.17,374,374,object_unregistered,40.0,97.8,0.59,warning,"Unregistered object (bottle) appeared at S01 at 00:31, not present during calibration",,
evt_0006,sess_20260823_084632,S01,1,34.33,34.33,412,412,object_unregistered,40.0,100.0,0.57,critical,"Unregistered object (bottle) appeared at S01 at 00:34, not present during calibration",/api/clips/evt_0006,/api/thumbs/evt_0006
evt_0007,sess_20260823_084632,S01,1,37.33,37.33,448,448,object_unregistered,40.0,100.0,0.6,critical,"Unregistered object (bottle) appeared at S01 at 00:37, not present during calibration",,
evt_0008,sess_20260823_084632,S01,1,40.33,40.33,484,484,object_unregistered,40.0,100.0,0.6,critical,"Unregistered object (bottle) appeared at S01 at 00:40, not present during calibration",,
evt_0009,sess_20260823_084632,S01,1,43.33,43.33,520,520,object_unregistered,40.0,100.0,0.58,critical,"Unregistered object (bottle) appeared at S01 at 00:43, not present during calibration",,
evt_0010,sess_20260823_084632,S01,1,46.33,46.33,556,556,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 00:46, not present during calibration",,
evt_0011,sess_20260823_084632,S01,1,49.33,49.33,592,592,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 00:49, not present during calibration",,
evt_0012,sess_20260823_084632,S01,1,52.5,52.5,630,630,object_unregistered,40.0,100.0,0.58,critical,"Unregistered object (bottle) appeared at S01 at 00:52, not present during calibration",,
evt_0013,sess_20260823_084632,S01,1,55.5,55.5,666,666,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 00:55, not present during calibration",,
evt_0014,sess_20260823_084632,S01,1,58.5,58.5,702,702,object_unregistered,40.0,100.0,0.6,critical,"Unregistered object (bottle) appeared at S01 at 00:58, not present during calibration",,
evt_0015,sess_20260823_084632,S01,1,62.67,62.67,752,752,object_unregistered,40.0,100.0,0.57,critical,"Unregistered object (bottle) appeared at S01 at 01:02, not present during calibration",,
evt_0016,sess_20260823_084632,S01,1,65.67,65.67,788,788,object_unregistered,40.0,100.0,0.58,critical,"Unregistered object (bottle) appeared at S01 at 01:05, not present during calibration",,
evt_0017,sess_20260823_084632,S01,1,68.67,68.67,824,824,object_unregistered,40.0,100.0,0.57,critical,"Unregistered object (bottle) appeared at S01 at 01:08, not present during calibration",,
evt_0018,sess_20260823_084632,S01,1,71.67,71.67,860,860,object_unregistered,40.0,100.0,0.58,critical,"Unregistered object (bottle) appeared at S01 at 01:11, not present during calibration",,
evt_0019,sess_20260823_084632,S01,1,74.67,74.67,896,896,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 01:14, not present during calibration",,
evt_0020,sess_20260823_084632,S01,1,77.67,77.67,932,932,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 01:17, not present during calibration",,
evt_0021,sess_20260823_084632,S01,1,80.67,80.67,968,968,object_unregistered,40.0,100.0,0.58,critical,"Unregistered object (bottle) appeared at S01 at 01:20, not present during calibration",,
evt_0022,sess_20260823_084632,S01,1,81.08,81.08,973,973,motion_spurt,20.0,100.0,0.75,critical,"Abnormal rapid motion detected at S01 (Energy: 31.3%, Velocity: 0.0px/s)",/api/clips/evt_0022,/api/thumbs/evt_0022
evt_0023,sess_20260823_084632,S01,1,83.67,83.67,1004,1004,object_unregistered,40.0,100.0,0.55,critical,"Unregistered object (bottle) appeared at S01 at 01:23, not present during calibration",,
evt_0024,sess_20260823_084632,S01,1,86.67,86.67,1040,1040,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 01:26, not present during calibration",,
evt_0025,sess_20260823_084632,S01,1,89.67,89.67,1076,1076,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 01:29, not present during calibration",,
evt_0026,sess_20260823_084632,S01,1,92.67,92.67,1112,1112,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 01:32, not present during calibration",,
evt_0027,sess_20260823_084632,S01,1,95.67,95.67,1148,1148,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 01:35, not present during calibration",,
evt_0028,sess_20260823_084632,S01,1,98.67,98.67,1184,1184,object_unregistered,40.0,100.0,0.6,critical,"Unregistered object (bottle) appeared at S01 at 01:38, not present during calibration",,
evt_0029,sess_20260823_084632,S01,1,101.67,101.67,1220,1220,object_unregistered,40.0,100.0,0.61,critical,"Unregistered object (bottle) appeared at S01 at 01:41, not present during calibration",,
evt_0030,sess_20260823_084632,S01,1,104.67,104.67,1256,1256,object_unregistered,40.0,100.0,0.57,critical,"Unregistered object (bottle) appeared at S01 at 01:44, not present during calibration",,
evt_0031,sess_20260823_084632,S01,1,107.67,107.67,1292,1292,object_unregistered,40.0,100.0,0.58,critical,"Unregistered object (bottle) appeared at S01 at 01:47, not present during calibration",,
evt_0032,sess_20260823_084632,S01,1,110.67,110.67,1328,1328,object_unregistered,40.0,100.0,0.41,critical,"Unregistered object (mouse) appeared at S01 at 01:50, not present during calibration",,
evt_0033,sess_20260823_084632,S01,1,113.67,113.67,1364,1364,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 01:53, not present during calibration",,
evt_0034,sess_20260823_084632,S01,1,116.67,116.67,1400,1400,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 01:56, not present during calibration",,
evt_0035,sess_20260823_084632,S01,1,119.67,119.67,1436,1436,object_unregistered,40.0,100.0,0.58,critical,"Unregistered object (bottle) appeared at S01 at 01:59, not present during calibration",,
evt_0036,sess_20260823_084632,S01,1,122.67,122.67,1472,1472,object_unregistered,40.0,100.0,0.57,critical,"Unregistered object (bottle) appeared at S01 at 02:02, not present during calibration",,
evt_0037,sess_20260823_084632,S01,1,125.67,125.67,1508,1508,object_unregistered,40.0,100.0,0.57,critical,"Unregistered object (bottle) appeared at S01 at 02:05, not present during calibration",,
evt_0038,sess_20260823_084632,S01,1,131.0,131.0,1572,1572,object_unregistered,40.0,100.0,0.58,critical,"Unregistered object (bottle) appeared at S01 at 02:11, not present during calibration",,
evt_0039,sess_20260823_084632,S01,1,131.17,131.17,1574,1574,motion_spurt,20.0,100.0,0.75,critical,"Abnormal rapid motion detected at S01 (Energy: 31.7%, Velocity: 0.0px/s)",,
evt_0040,sess_20260823_084632,S01,1,136.67,136.67,1640,1640,object_unregistered,40.0,100.0,0.5,critical,"Unregistered object (bottle) appeared at S01 at 02:16, not present during calibration",,
evt_0041,sess_20260823_084632,S01,1,139.83,139.83,1678,1678,object_unregistered,40.0,100.0,0.31,critical,"Unregistered object (mouse) appeared at S01 at 02:19, not present during calibration",,
evt_0042,sess_20260823_084632,S01,1,142.83,142.83,1714,1714,object_unregistered,40.0,100.0,0.55,critical,"Unregistered object (bottle) appeared at S01 at 02:22, not present during calibration",,
evt_0043,sess_20260823_084632,S01,1,145.83,145.83,1750,1750,object_unregistered,40.0,100.0,0.58,critical,"Unregistered object (bottle) appeared at S01 at 02:25, not present during calibration",,
evt_0044,sess_20260823_084632,S01,1,148.83,148.83,1786,1786,object_unregistered,40.0,100.0,0.59,critical,"Unregistered object (bottle) appeared at S01 at 02:28, not present during calibration",,
evt_0045,sess_20260823_084632,S01,1,148.58,149.58,1770,1795,head_turn,10.0,100.0,0.82,critical,"Head turned left, 3.3 deviations from own baseline, held 1.0s",/api/clips/evt_0045,/api/thumbs/evt_0045
